run_id,timestamp,git_commit,device,experiment,model,revin,loss,alpha,corr_threshold,seed,fold,val_users,n_params,n_train_windows,epochs,train_mse,train_pearson,train_loss,minutes_train,resumed,score_macro,score_micro,score_std,n_sessions,n_negative,minutes_score,test_ghij_macro
ds_tcn_c192_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_AB,AB,317017,210964,20,0.01640426831289986,0.6283401879698065,0.01640426831289986,8.49,0,0.7941171127476142,0.798168870426139,,380,13,,
ds_tcn_c192_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_CE,CE,317017,218920,20,0.017227266519854498,0.6360387992036514,0.017227266519854498,8.81,0,0.7770199573161753,0.7658048153209517,,337,16,,
ds_tcn_c192_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_DF,DF,317017,230152,20,0.0190539961348839,0.680465845066473,0.0190539961348839,9.25,0,0.6159380166363821,0.5858237518530667,,308,36,,
ds_tcn_c192_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,a97773b,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_KL,KL,317017,218088,20,0.01713211103582956,0.6275915753690989,0.01713211103582956,25.15,0,0.7665891247883001,0.7792561248085922,,264,16,,
ds_tcn_c64_k11_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,00f79dc,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_KL,KL,41177,218088,20,0.018614742348239507,0.6130316282224627,0.018614742348239507,7.82,0,0.7939652643876698,0.8042328080831427,,264,13,,
ds_tcn_c64_k13_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,00f79dc,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_KL,KL,42201,218088,20,0.01839954145304627,0.612787311887937,0.01839954145304627,7.73,0,0.7759216422323915,0.7888631236786611,,264,16,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_tong,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,TONG,ABCDEFKL,38105,,20,,,,,,0.7578552607454675,,0.09352606749587843,4,,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_AB,AB,38105,210964,20,0.02079576092343105,0.5778153393082016,0.02079576092343105,7.74,0,0.7954657192439054,0.8000172641252538,,380,9,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_CE,CE,38105,218920,20,0.022099418250108298,0.5884928685536478,0.022099418250108298,8.08,0,0.7805152598697644,0.7683052978387571,,337,15,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_DF,DF,38105,230152,20,0.024284492465591046,0.6386365107125231,0.024284492465591046,8.4,0,0.6027316024192613,0.5668214955530272,,308,42,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,00f79dc,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_KL,KL,38105,218088,20,0.021269077924708727,0.5850949365155937,0.021269077924708727,7.93,0,0.8458432997359782,0.8504964518379114,,264,5,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_tong,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,TONG,ABCDEFKL,39129,,20,,,,,,0.743657095453822,,0.09583226485369807,4,,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_AB,AB,39129,210964,20,0.019946389656326367,0.588448903896536,0.019946389656326367,7.58,0,0.7892442252419967,0.7945033146647859,,380,11,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_CE,CE,39129,218920,20,0.02123879524042029,0.5985689358521679,0.02123879524042029,7.92,0,0.7794378007378778,0.7696895954912143,,337,11,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_DF,DF,39129,230152,20,0.023362915253891718,0.645553876426043,0.023362915253891718,8.31,0,0.5803630552058399,0.5349926892665956,,308,44,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,00f79dc,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_KL,KL,39129,218088,20,0.020592356255079047,0.5920648901972553,0.020592356255079047,7.89,0,0.8176359355959506,0.8236080969764975,,264,9,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_tong,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,TONG,ABCDEFKL,40153,,20,,,,,,0.7369696975073188,,0.08985333727824073,4,,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_AB,AB,40153,210964,20,0.018667482311956297,0.604570678220867,0.018667482311956297,7.67,0,0.7929070854897944,0.7966275600887857,,380,10,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_CE,CE,40153,218920,20,0.019618156520680826,0.615573114398905,0.019618156520680826,8.01,0,0.7860290347813774,0.7733076713660196,,337,16,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,Tesla T4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_DF,DF,40153,230152,20,0.021664313258681407,0.6596861655906998,0.021664313258681407,8.4,0,0.581402128093564,0.5443371348586953,,308,46,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,00f79dc,NVIDIA L4,tn2_rf,ds_tcn,0,mse,1.0,0.9,0,val_KL,KL,40153,218088,20,0.019389929470552587,0.6040885354886313,0.019389929470552587,7.7,0,0.8040823952653484,0.8128976480423046,,264,11,,
